Model           TIME(t) ACC(t)  ERR(t)  ACC(v)  ERR(v)  Parameters
SYN2020-LUCID   0.24200 0.98877 0.45167 0.96215 0.42097 lr=0.100,b=2048,n=010,t=010,k=002,h=(03,11),m=max
SYN2020-LUCID   0.25900 0.98596 0.39090 0.96215 0.36782 lr=0.100,b=2048,n=010,t=010,k=002,h=(03,11),m=max
SYN2020-LUCID   0.23300 0.98772 0.34377 0.96215 0.31929 lr=0.100,b=2048,n=010,t=010,k=002,h=(03,11),m=max
SYN2020-LUCID   0.18908 0.98631 0.30231 0.96215 0.28562 lr=0.100,b=2048,n=010,t=010,k=002,h=(03,11),m=max
SYN2020-LUCID   0.22300 0.98947 0.27497 0.97161 0.26308 lr=0.100,b=2048,n=010,t=010,k=002,h=(03,11),m=max
SYN2020-LUCID   0.15800 0.98842 0.25871 0.96845 0.24091 lr=0.100,b=2048,n=010,t=010,k=002,h=(03,11),m=max
SYN2020-LUCID   0.22000 0.98561 0.24031 0.96215 0.22528 lr=0.100,b=2048,n=010,t=010,k=002,h=(03,11),m=max
SYN2020-LUCID   0.23100 0.98807 0.22337 0.96530 0.21324 lr=0.100,b=2048,n=010,t=010,k=002,h=(03,11),m=max
SYN2020-LUCID   0.86798 0.55704 0.62356 0.99685 0.50226 lr=0.100,b=1024,n=010,t=010,k=004,h=(03,11),m=min
SYN2020-LUCID   0.43707 0.85328 0.44069 0.95268 0.38753 lr=0.100,b=1024,n=010,t=010,k=004,h=(03,11),m=min
SYN2020-LUCID   0.30400 0.97508 0.35169 0.94637 0.32682 lr=0.100,b=1024,n=010,t=010,k=004,h=(03,11),m=min
SYN2020-LUCID   0.26806 0.97473 0.30859 0.95268 0.28120 lr=0.100,b=1024,n=010,t=010,k=004,h=(03,11),m=min
SYN2020-LUCID   0.29700 0.97613 0.27242 0.99369 0.24104 lr=0.100,b=1024,n=010,t=010,k=004,h=(03,11),m=min
SYN2020-LUCID   0.28400 0.98034 0.23308 0.99369 0.20842 lr=0.100,b=1024,n=010,t=010,k=004,h=(03,11),m=min
SYN2020-LUCID   0.27600 0.97964 0.20962 0.99369 0.18194 lr=0.100,b=1024,n=010,t=010,k=004,h=(03,11),m=min
SYN2020-LUCID   0.29417 0.97999 0.17469 0.94637 0.16771 lr=0.100,b=1024,n=010,t=010,k=004,h=(03,11),m=min
SYN2020-LUCID   0.29583 0.97367 0.15873 0.94637 0.15780 lr=0.100,b=1024,n=010,t=010,k=004,h=(03,11),m=min
SYN2020-LUCID   0.27600 0.97718 0.14603 0.94637 0.15868 lr=0.100,b=1024,n=010,t=010,k=004,h=(03,11),m=min
SYN2020-LUCID   0.90320 0.49351 0.70100 1.00000 0.64572 lr=0.100,b=2048,n=010,t=010,k=004,h=(03,11),m=min
SYN2020-LUCID   0.86380 0.47666 0.67591 0.97476 0.62636 lr=0.100,b=1024,n=010,t=010,k=004,h=(03,11),m=max
SYN2020-LUCID   0.35300 0.98982 0.51618 0.97476 0.46710 lr=0.100,b=1024,n=010,t=010,k=004,h=(03,11),m=max
SYN2020-LUCID   0.25200 0.98701 0.35731 0.96530 0.31867 lr=0.100,b=1024,n=010,t=010,k=004,h=(03,11),m=max
SYN2020-LUCID   0.27400 0.98105 0.25852 0.96215 0.25042 lr=0.100,b=1024,n=010,t=010,k=004,h=(03,11),m=max
SYN2020-LUCID   0.27146 0.98070 0.21173 0.96215 0.22188 lr=0.100,b=1024,n=010,t=010,k=004,h=(03,11),m=max
SYN2020-LUCID   0.29600 0.98456 0.19087 0.96215 0.20543 lr=0.100,b=1024,n=010,t=010,k=004,h=(03,11),m=max
SYN2020-LUCID   0.32100 0.98842 0.17687 0.97476 0.18867 lr=0.100,b=1024,n=010,t=010,k=004,h=(03,11),m=max
SYN2020-LUCID   0.29500 0.98596 0.16202 0.96215 0.17298 lr=0.100,b=1024,n=010,t=010,k=004,h=(03,11),m=max
SYN2020-LUCID   0.20700 0.98350 0.14802 0.95899 0.16103 lr=0.100,b=1024,n=010,t=010,k=004,h=(03,11),m=max
SYN2020-LUCID   0.21900 0.98631 0.13500 0.95899 0.15506 lr=0.100,b=1024,n=010,t=010,k=004,h=(03,11),m=max
SYN2020-LUCID   0.79760 0.21727 0.71238 0.52050 0.62821 lr=0.100,b=2048,n=010,t=010,k=004,h=(03,11),m=max
SYN2020-LUCID   0.22900 0.49877 0.59159 0.99685 0.53310 lr=0.100,b=2048,n=010,t=010,k=004,h=(03,11),m=max
SYN2020-LUCID   0.17600 0.99263 0.47248 0.99685 0.43961 lr=0.100,b=2048,n=010,t=010,k=004,h=(03,11),m=max
SYN2020-LUCID   0.27200 0.99298 0.39406 0.99685 0.37400 lr=0.100,b=2048,n=010,t=010,k=004,h=(03,11),m=max
SYN2020-LUCID   0.24500 0.99158 0.35041 0.99685 0.33169 lr=0.100,b=2048,n=010,t=010,k=004,h=(03,11),m=max
SYN2020-LUCID   0.23400 0.99228 0.31412 0.99685 0.29667 lr=0.100,b=2048,n=010,t=010,k=004,h=(03,11),m=max
SYN2020-LUCID   0.20000 0.99158 0.28052 0.97476 0.26706 lr=0.100,b=2048,n=010,t=010,k=004,h=(03,11),m=max
SYN2020-LUCID   0.24400 0.99087 0.25155 0.95899 0.24409 lr=0.100,b=2048,n=010,t=010,k=004,h=(03,11),m=max
SYN2020-LUCID   0.23500 0.98666 0.22764 0.95899 0.22630 lr=0.100,b=2048,n=010,t=010,k=004,h=(03,11),m=max
SYN2020-LUCID   0.22100 0.98807 0.20748 0.95899 0.20848 lr=0.100,b=2048,n=010,t=010,k=004,h=(03,11),m=max
SYN2020-LUCID   0.98100 0.65918 0.67024 0.99685 0.61533 lr=0.100,b=1024,n=010,t=010,k=008,h=(03,11),m=min
SYN2020-LUCID   0.27100 0.84275 0.52958 0.94637 0.53963 lr=0.100,b=1024,n=010,t=010,k=008,h=(03,11),m=min
SYN2020-LUCID   0.26833 0.94314 0.40856 0.99685 0.44926 lr=0.100,b=1024,n=010,t=010,k=008,h=(03,11),m=min
SYN2020-LUCID   0.35300 0.96209 0.35167 0.99685 0.36215 lr=0.100,b=1024,n=010,t=010,k=008,h=(03,11),m=min
SYN2020-LUCID   0.27154 0.97192 0.29824 0.99685 0.30836 lr=0.100,b=1024,n=010,t=010,k=008,h=(03,11),m=min
SYN2020-LUCID   0.27100 0.97122 0.25575 0.99685 0.26700 lr=0.100,b=1024,n=010,t=010,k=008,h=(03,11),m=min
SYN2020-LUCID   0.27700 0.97964 0.21269 0.99685 0.24642 lr=0.100,b=1024,n=010,t=010,k=008,h=(03,11),m=min
SYN2020-LUCID   0.27100 0.97789 0.19187 0.99685 0.21096 lr=0.100,b=1024,n=010,t=010,k=008,h=(03,11),m=min
SYN2020-LUCID   0.26500 0.97789 0.16547 0.99685 0.17810 lr=0.100,b=1024,n=010,t=010,k=008,h=(03,11),m=min
SYN2020-LUCID   0.25432 0.98315 0.14354 0.99685 0.15743 lr=0.100,b=1024,n=010,t=010,k=008,h=(03,11),m=min
SYN2020-LUCID   0.99506 0.51281 0.67726 0.82334 0.57051 lr=0.100,b=2048,n=010,t=010,k=008,h=(03,11),m=min
SYN2020-LUCID   0.15100 0.62092 0.53766 0.99369 0.43786 lr=0.100,b=2048,n=010,t=010,k=008,h=(03,11),m=min
SYN2020-LUCID   0.16400 0.98736 0.39214 0.94322 0.36037 lr=0.100,b=2048,n=010,t=010,k=008,h=(03,11),m=min
SYN2020-LUCID   0.23856 0.97964 0.32869 0.94006 0.31424 lr=0.100,b=2048,n=010,t=010,k=008,h=(03,11),m=min
SYN2020-LUCID   0.23806 0.97718 0.28441 0.93691 0.27476 lr=0.100,b=2048,n=010,t=010,k=008,h=(03,11),m=min
SYN2020-LUCID   0.18900 0.97718 0.23644 0.93060 0.24585 lr=0.100,b=2048,n=010,t=010,k=008,h=(03,11),m=min
SYN2020-LUCID   0.25700 0.97227 0.21115 0.93060 0.23126 lr=0.100,b=2048,n=010,t=010,k=008,h=(03,11),m=min
SYN2020-LUCID   0.22900 0.96876 0.19835 0.93060 0.21662 lr=0.100,b=2048,n=010,t=010,k=008,h=(03,11),m=min
SYN2020-LUCID   0.22400 0.97438 0.17906 0.93691 0.19639 lr=0.100,b=2048,n=010,t=010,k=008,h=(03,11),m=min
SYN2020-LUCID   0.27300 0.98034 0.16415 0.93691 0.17918 lr=0.100,b=2048,n=010,t=010,k=008,h=(03,11),m=min
SYN2020-LUCID   0.89616 0.45139 0.66634 0.97792 0.55403 lr=0.100,b=1024,n=010,t=010,k=008,h=(03,11),m=max
SYN2020-LUCID   0.25800 0.80906 0.45107 0.99685 0.39666 lr=0.100,b=1024,n=010,t=010,k=008,h=(03,11),m=max
SYN2020-LUCID   0.26500 0.98877 0.33993 0.98107 0.32262 lr=0.100,b=1024,n=010,t=010,k=008,h=(03,11),m=max
SYN2020-LUCID   0.28000 0.99052 0.29360 0.97476 0.27697 lr=0.100,b=1024,n=010,t=010,k=008,h=(03,11),m=max
SYN2020-LUCID   0.21200 0.99017 0.25149 0.96845 0.24142 lr=0.100,b=1024,n=010,t=010,k=008,h=(03,11),m=max
SYN2020-LUCID   0.24200 0.98631 0.21189 0.95899 0.21470 lr=0.100,b=1024,n=010,t=010,k=008,h=(03,11),m=max
SYN2020-LUCID   0.25900 0.98526 0.18167 0.95899 0.19008 lr=0.100,b=1024,n=010,t=010,k=008,h=(03,11),m=max
SYN2020-LUCID   0.27900 0.98736 0.15354 0.94322 0.17346 lr=0.100,b=1024,n=010,t=010,k=008,h=(03,11),m=max
SYN2020-LUCID   0.33500 0.98912 0.13327 0.93691 0.16840 lr=0.100,b=1024,n=010,t=010,k=008,h=(03,11),m=max
SYN2020-LUCID   0.14705 0.98245 0.12305 0.94637 0.16101 lr=0.100,b=1024,n=010,t=010,k=008,h=(03,11),m=max
SYN2020-LUCID   0.83910 0.45279 0.67525 0.52050 0.54917 lr=0.100,b=2048,n=010,t=010,k=008,h=(03,11),m=max
SYN2020-LUCID   0.15550 0.63075 0.51483 0.99369 0.42060 lr=0.100,b=2048,n=010,t=010,k=008,h=(03,11),m=max
SYN2020-LUCID   0.13200 0.98982 0.37773 0.95899 0.36243 lr=0.100,b=2048,n=010,t=010,k=008,h=(03,11),m=max
SYN2020-LUCID   0.21400 0.98105 0.33716 0.95899 0.33386 lr=0.100,b=2048,n=010,t=010,k=008,h=(03,11),m=max
SYN2020-LUCID   0.18300 0.97894 0.31091 0.94322 0.31237 lr=0.100,b=2048,n=010,t=010,k=008,h=(03,11),m=max
SYN2020-LUCID   0.23551 0.98175 0.28286 0.94322 0.28680 lr=0.100,b=2048,n=010,t=010,k=008,h=(03,11),m=max
SYN2020-LUCID   0.18500 0.98315 0.25397 0.93060 0.26212 lr=0.100,b=2048,n=010,t=010,k=008,h=(03,11),m=max
SYN2020-LUCID   0.19700 0.98034 0.22604 0.93060 0.24028 lr=0.100,b=2048,n=010,t=010,k=008,h=(03,11),m=max
SYN2020-LUCID   0.18400 0.98175 0.20085 0.93060 0.21986 lr=0.100,b=2048,n=010,t=010,k=008,h=(03,11),m=max
SYN2020-LUCID   0.21500 0.98491 0.17792 0.94322 0.20208 lr=0.100,b=2048,n=010,t=010,k=008,h=(03,11),m=max
SYN2020-LUCID   0.78096 0.72692 0.63501 0.99685 0.46762 lr=0.100,b=1024,n=010,t=010,k=016,h=(03,11),m=min
SYN2020-LUCID   0.12200 0.97122 0.33935 0.94322 0.28651 lr=0.100,b=1024,n=010,t=010,k=016,h=(03,11),m=min
SYN2020-LUCID   0.11900 0.97754 0.23290 0.94637 0.24356 lr=0.100,b=1024,n=010,t=010,k=016,h=(03,11),m=min
SYN2020-LUCID   0.12300 0.97578 0.22189 0.96530 0.21727 lr=0.100,b=1024,n=010,t=010,k=016,h=(03,11),m=min
SYN2020-LUCID   0.12000 0.97718 0.19657 0.94953 0.19261 lr=0.100,b=1024,n=010,t=010,k=016,h=(03,11),m=min
SYN2020-LUCID   0.12100 0.97332 0.17571 0.94953 0.16927 lr=0.100,b=1024,n=010,t=010,k=016,h=(03,11),m=min
SYN2020-LUCID   0.12200 0.97438 0.14703 0.94637 0.14871 lr=0.100,b=1024,n=010,t=010,k=016,h=(03,11),m=min
